,company Name,CIN,ROC Name,Date of Incorporation,Registered Address,Authorised Capital,Paid Up Capital,Date of Last AGM,Date of Latest Balance sheet,Company Status
0,RAKSHADHITYA COMPUTERS PRIVATE LIMITED,U30006TN1996PTC034986,RoC-Chennai,28/03/1996,"108,RAMANAICKEN STREET NUNGAMBAKKAM, MADRAS- Tamil Nadu INDIA 600034",₹ 200000,₹ 2000,,,DORMANT
1,WINNER ESTATES PRIVATE LIMITED,U74899DL1993PTC053145,RoC-Delhi,20/04/1993,"D-3/6,AURANGZEB ROAD NEW DELHI Delhi INDIA 110028",₹ 11000000,₹ 10769000,,,ACTIVE
2,KALIKAPUR NURSING HOME PRIVATE LIMITED,U74999WB2016PTC217184,RoC-Kolkata,18/08/2016,VILL-KALIKAPURPO KALIKAPUR 24 PGNS SOUTH KOLKATA Parganas South WB 743330 IN,₹ 3500000,₹ 100000,,,Active
3,GOMAS SYSTEMS AND CONTROLS PRIVATE LIMITED,U30009KA1988PTC009046,RoC-Bangalore,20/04/1988,"1014,10TH FLOOR, 'B' WING,6/47, MITTAL TOWER, M.G. ROAD, BANGALORE Karnataka INDIA 560001",₹ 50000000,₹ 48500000,,,ACTIVE
4,ELECTRICAL (SWITCH GEARS) PVT LTD,U29308UP1966PTC003121,RoC-Kanpur,02/06/1966,"C/191/192 INDUSTRIAL AREA,BULANDSHAHAR ROAD GHAZIABAD BULANDSHAHAR ROAD, GHAZIABAD Uttar Pradesh INDIA",₹ 400000,₹,,,STRIKE OFF
5,AQUA CLEAN SYSTEMS PRIVATE LIMITED,U29253PN2013PTC148037,RoC-Pune,08/07/2013,"Gat No.94/1,Jyotiba Nagar Talawade Pune Pune MH 411062 IN",₹ 100000,₹ 100000,30/09/2019,31/03/2019,Active
6,EMES BUSINESS SOLUTIONS PRIVATE LIMITED,U74140KL2012PTC031546,ROC-Ernakulam,29/06/2012,"House # 15/719A,Rose Gardens, P.O. Thiruvambady Thrissur,Kerala, India. Thrissur Kerala INDIA 680022",₹ 100000,₹ 100000,,,ACTIVE
7,VIDYA BHARATHI SURAKSHA,U85100KA2009NPL050097,RoC-Bangalore,10/06/2009,5/2 SHANKAR MUTT ROAD BASAVANAGUDI BANGALORE KA 560004 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
8,GOLF HI-TECH ENGINEERS PRIVATE LIMITED,U29306TZ1991PTC003313,RoC-Coimbatore,03/07/1991,"NO.345, NEHRU STREET RAM NAGAR COIMBATORE Tamil Nadu INDIA 641009",₹ 2500000,₹,,,STRIKE OFF
9,J.T.ELECTRONICS LIMITED,U32300KA1990PLC011144,RoC-Bangalore,16/08/1990,"48B & C, KIADB INDUSTRIAL AREABASETTYHALLI, DODABALLAPUR BANGALORE Karnataka INDIA 562103",₹ 5000000,₹ 4000,,,AMALGAMATED
10,GNB TECHNOLOGIES (INDIA) PRIVATE LIMITED,U31109KA1997PTC022384,RoC-Bangalore,13/06/1997,"N-47, 1st floor, 9th B Main, LIC Colony, Jeevanbimanagar, Bangalore Karnataka INDIA 560075",₹ 100000000,₹ 80184180,,,ACTIVE
11,GREEN LED TECHNOLOGY PRIVATE LIMITED,U31501MH2009PTC192563,RoC-Mumbai,22/05/2009,115 MASKATI MAHAL LOHAR CHAWL MUMBAI MH 400002 IN,₹ 100000,₹ 100000,30/09/2015,31/03/2015,Active
12,SWING ELECTRONICS PVT LTD,U29308UP1982PTC005856,RoC-Kanpur,01/12/1982,"21, SHIVAJI ROAD, MEERUT 21, SHIVAJI ROAD, MEERUT Uttar Pradesh INDIA",₹ 300000,₹,,,STRIKE OFF
